waveform	Force_0	Force_1
t0	15/01/2021  11:44:50,036399	15/01/2021  11:44:50,036399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:44:50,036399	-5,001483E+3	4,054986E+1
15/01/2021  11:44:50,036899	-5,001483E+3	4,219526E+1
15/01/2021  11:44:50,037399	-5,001483E+3	4,233834E+1
15/01/2021  11:44:50,037899	-5,001483E+3	4,205219E+1
15/01/2021  11:44:50,038399	-4,855590E+3	4,286296E+1
15/01/2021  11:44:50,038899	-2,656138E+3	3,981659E+1
15/01/2021  11:44:50,039399	4,893048E+2	3,872561E+1
15/01/2021  11:44:50,039899	3,244063E+3	3,720540E+1
15/01/2021  11:44:50,040399	3,500395E+3	3,753329E+1
15/01/2021  11:44:50,040899	4,865069E+3	3,756310E+1
15/01/2021  11:44:50,041399	3,254763E+3	3,438557E+1
15/01/2021  11:44:50,041899	8,224761E+2	3,316344E+1
15/01/2021  11:44:50,042399	-1,826506E+3	3,494596E+1
15/01/2021  11:44:50,042899	-4,026539E+3	3,024822E+1
15/01/2021  11:44:50,043399	-5,001483E+3	3,039726E+1
15/01/2021  11:44:50,043899	-5,001483E+3	3,144054E+1
15/01/2021  11:44:50,044399	-4,770390E+3	3,006341E+1
15/01/2021  11:44:50,044899	-3,305922E+3	2,751780E+1
15/01/2021  11:44:50,045399	-1,930999E+3	2,732107E+1
15/01/2021  11:44:50,045899	-6,008174E+2	2,952090E+1
15/01/2021  11:44:50,046399	9,272790E+2	3,096957E+1
15/01/2021  11:44:50,046899	2,840962E+3	3,279382E+1
15/01/2021  11:44:50,047399	4,998744E+3	3,469557E+1
15/01/2021  11:44:50,047899	4,998744E+3	3,342575E+1
15/01/2021  11:44:50,048399	4,998744E+3	3,526192E+1
15/01/2021  11:44:50,048899	4,998744E+3	3,326479E+1
15/01/2021  11:44:50,049399	4,998744E+3	3,624559E+1
15/01/2021  11:44:50,049899	4,998744E+3	3,315748E+1
15/01/2021  11:44:50,050399	4,998744E+3	3,383114E+1
15/01/2021  11:44:50,050899	4,998744E+3	3,781349E+1
15/01/2021  11:44:50,051399	4,814960E+3	3,644232E+1
15/01/2021  11:44:50,051899	1,213685E+3	3,823676E+1
15/01/2021  11:44:50,052399	-2,942981E+3	3,920254E+1
15/01/2021  11:44:50,052899	-5,001483E+3	4,053794E+1
15/01/2021  11:44:50,053399	-5,001483E+3	4,034717E+1
15/01/2021  11:44:50,053899	-5,001483E+3	4,026371E+1
15/01/2021  11:44:50,054399	-5,001483E+3	4,325643E+1
15/01/2021  11:44:50,054899	-5,001483E+3	4,500914E+1
15/01/2021  11:44:50,055399	-5,001483E+3	4,249931E+1
15/01/2021  11:44:50,055899	-5,001483E+3	4,300604E+1
15/01/2021  11:44:50,056399	-5,001483E+3	4,289873E+1
15/01/2021  11:44:50,056899	-5,001483E+3	3,902369E+1
15/01/2021  11:44:50,057399	-5,001483E+3	3,940524E+1
15/01/2021  11:44:50,057899	-5,001483E+3	4,009678E+1
15/01/2021  11:44:50,058399	-4,998761E+3	3,652578E+1
15/01/2021  11:44:50,058899	-2,611083E+3	3,943504E+1
15/01/2021  11:44:50,059399	3,008181E+2	3,459422E+1
15/01/2021  11:44:50,059899	2,372941E+3	3,558981E+1
15/01/2021  11:44:50,060399	4,482481E+3	3,229901E+1
15/01/2021  11:44:50,060899	4,998744E+3	3,040322E+1
15/01/2021  11:44:50,061399	3,149509E+3	3,451672E+1
15/01/2021  11:44:50,061899	9,337891E+2	3,126765E+1
15/01/2021  11:44:50,062399	-1,956703E+3	3,619789E+1
15/01/2021  11:44:50,062899	-4,032869E+3	3,600116E+1
15/01/2021  11:44:50,063399	-5,001483E+3	3,096361E+1
15/01/2021  11:44:50,063899	-5,001483E+3	3,313363E+1
15/01/2021  11:44:50,064399	-4,511335E+3	3,333036E+1
15/01/2021  11:44:50,064899	-3,196293E+3	3,553020E+1
15/01/2021  11:44:50,065399	-1,792481E+3	3,481480E+1
15/01/2021  11:44:50,065899	-4,213706E+2	3,877331E+1
15/01/2021  11:44:50,066399	9,908368E+2	3,798637E+1
15/01/2021  11:44:50,066899	2,967918E+3	3,714579E+1
15/01/2021  11:44:50,067399	4,998744E+3	3,804599E+1
15/01/2021  11:44:50,067899	4,998744E+3	3,591770E+1
15/01/2021  11:44:50,068399	4,998744E+3	3,671655E+1
15/01/2021  11:44:50,068899	4,998744E+3	3,784926E+1
15/01/2021  11:44:50,069399	4,998744E+3	3,716964E+1
15/01/2021  11:44:50,069899	4,998744E+3	3,743791E+1
15/01/2021  11:44:50,070399	4,998744E+3	3,555404E+1
15/01/2021  11:44:50,070899	4,998744E+3	3,567924E+1
15/01/2021  11:44:50,071399	4,731698E+3	3,678809E+1
15/01/2021  11:44:50,071899	1,200389E+3	3,744387E+1
15/01/2021  11:44:50,072399	-2,922664E+3	3,917273E+1
15/01/2021  11:44:50,072899	-5,001483E+3	3,866004E+1
15/01/2021  11:44:50,073399	-5,001483E+3	3,210824E+1
15/01/2021  11:44:50,073899	-5,001483E+3	3,318729E+1
15/01/2021  11:44:50,074399	-5,001483E+3	3,510096E+1
15/01/2021  11:44:50,074899	-5,001483E+3	3,113650E+1
15/01/2021  11:44:50,075399	-5,001483E+3	3,156573E+1
15/01/2021  11:44:50,075899	-5,001483E+3	2,966994E+1
15/01/2021  11:44:50,076399	-5,001483E+3	3,140477E+1
15/01/2021  11:44:50,076899	-5,001483E+3	3,231689E+1
15/01/2021  11:44:50,077399	-5,001483E+3	3,318729E+1
15/01/2021  11:44:50,077899	-5,001483E+3	3,580443E+1
15/01/2021  11:44:50,078399	-4,948793E+3	3,312171E+1
15/01/2021  11:44:50,078899	-2,624683E+3	3,238843E+1
15/01/2021  11:44:50,079399	3,498733E+2	3,411133E+1
15/01/2021  11:44:50,079899	2,154999E+3	3,237651E+1
15/01/2021  11:44:50,080399	4,030882E+3	3,410537E+1
15/01/2021  11:44:50,080899	4,981197E+3	3,324690E+1
15/01/2021  11:44:50,081399	3,222086E+3	3,202477E+1
15/01/2021  11:44:50,081899	7,218630E+2	3,379537E+1
15/01/2021  11:44:50,082399	-1,911222E+3	3,563750E+1
15/01/2021  11:44:50,082899	-3,984158E+3	3,392056E+1
15/01/2021  11:44:50,083399	-5,001483E+3	3,334229E+1
15/01/2021  11:44:50,083899	-5,001483E+3	3,565539E+1
15/01/2021  11:44:50,084399	-4,803968E+3	3,533942E+1
15/01/2021  11:44:50,084899	-3,302397E+3	3,739021E+1
15/01/2021  11:44:50,085399	-1,867214E+3	3,923831E+1
15/01/2021  11:44:50,085899	-5,803898E+2	3,764656E+1
15/01/2021  11:44:50,086399	9,166959E+2	3,911312E+1
15/01/2021  11:44:50,086899	2,795186E+3	3,950062E+1
15/01/2021  11:44:50,087399	4,998744E+3	4,197468E+1
15/01/2021  11:44:50,087899	4,998744E+3	4,153353E+1
15/01/2021  11:44:50,088399	4,998744E+3	4,072871E+1
15/01/2021  11:44:50,088899	4,998744E+3	3,923235E+1
15/01/2021  11:44:50,089399	4,998744E+3	3,827849E+1
15/01/2021  11:44:50,089899	4,998744E+3	3,589385E+1
15/01/2021  11:44:50,090399	4,839254E+3	3,526788E+1
15/01/2021  11:44:50,090899	4,998744E+3	3,420672E+1
15/01/2021  11:44:50,091399	4,755414E+3	3,479096E+1
15/01/2021  11:44:50,091899	1,170818E+3	3,361056E+1
15/01/2021  11:44:50,092399	-3,079269E+3	3,200689E+1
15/01/2021  11:44:50,092899	-5,001483E+3	3,235862E+1
15/01/2021  11:44:50,093399	-5,001483E+3	3,316940E+1
15/01/2021  11:44:50,093899	-5,001483E+3	3,496384E+1
15/01/2021  11:44:50,094399	-5,001483E+3	3,195920E+1
15/01/2021  11:44:50,094899	-5,001483E+3	3,369998E+1
15/01/2021  11:44:50,095399	-5,001483E+3	3,250170E+1
15/01/2021  11:44:50,095899	-5,001483E+3	3,302632E+1
15/01/2021  11:44:50,096399	-5,001483E+3	3,346152E+1
15/01/2021  11:44:50,096899	-5,001483E+3	3,627540E+1
15/01/2021  11:44:50,097399	-5,001483E+3	3,610847E+1
15/01/2021  11:44:50,097899	-5,001483E+3	3,800426E+1
15/01/2021  11:44:50,098399	-4,837792E+3	3,790291E+1
15/01/2021  11:44:50,098899	-2,728421E+3	3,823676E+1
15/01/2021  11:44:50,099399	6,161857E+2	3,778964E+1
15/01/2021  11:44:50,099899	2,705791E+3	3,725310E+1
15/01/2021  11:44:50,100399	3,508243E+3	4,012063E+1
15/01/2021  11:44:50,100899	4,878213E+3	3,716367E+1
15/01/2021  11:44:50,101399	3,068127E+3	3,337210E+1
15/01/2021  11:44:50,101899	7,662385E+2	3,991197E+1
15/01/2021  11:44:50,102399	-2,090541E+3	3,745579E+1
15/01/2021  11:44:50,102899	-4,213792E+3	4,130102E+1
15/01/2021  11:44:50,103399	-5,001483E+3	4,349489E+1
