waveform	Force_0	Force_1
t0	15/01/2021  11:50:55,436399	15/01/2021  11:50:55,436399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:50:55,436399	1,364239E+3	2,698126E+1
15/01/2021  11:50:55,436899	3,970550E+3	2,837031E+1
15/01/2021  11:50:55,437399	4,998744E+3	2,144890E+1
15/01/2021  11:50:55,437899	4,998744E+3	2,205102E+1
15/01/2021  11:50:55,438399	4,998744E+3	2,451316E+1
15/01/2021  11:50:55,438899	4,998744E+3	2,282006E+1
15/01/2021  11:50:55,439399	4,998744E+3	2,206890E+1
15/01/2021  11:50:55,439899	4,998744E+3	2,396469E+1
15/01/2021  11:50:55,440399	4,998744E+3	2,542528E+1
15/01/2021  11:50:55,440899	4,998744E+3	2,603337E+1
15/01/2021  11:50:55,441399	3,434314E+3	2,796492E+1
15/01/2021  11:50:55,441899	-1,014666E+3	2,654010E+1
15/01/2021  11:50:55,442399	-5,001483E+3	2,746415E+1
15/01/2021  11:50:55,442899	-5,001483E+3	2,878763E+1
15/01/2021  11:50:55,443399	-5,001483E+3	3,182804E+1
15/01/2021  11:50:55,443899	-5,001483E+3	3,325883E+1
15/01/2021  11:50:55,444399	-5,001483E+3	3,407556E+1
15/01/2021  11:50:55,444899	-5,001483E+3	3,630520E+1
15/01/2021  11:50:55,445399	-5,001483E+3	3,667482E+1
15/01/2021  11:50:55,445899	-5,001483E+3	3,640059E+1
15/01/2021  11:50:55,446399	-5,001483E+3	3,785522E+1
15/01/2021  11:50:55,446899	-5,001483E+3	3,864215E+1
15/01/2021  11:50:55,447399	-5,001483E+3	3,801022E+1
15/01/2021  11:50:55,447899	-5,001483E+3	3,887465E+1
15/01/2021  11:50:55,448399	-3,759576E+3	3,644828E+1
15/01/2021  11:50:55,448899	-1,282692E+3	3,513077E+1
15/01/2021  11:50:55,449399	2,269810E+3	3,510692E+1
15/01/2021  11:50:55,449899	3,160724E+3	3,197112E+1
15/01/2021  11:50:55,450399	4,179163E+3	3,192939E+1
15/01/2021  11:50:55,450899	4,146243E+3	3,158958E+1
15/01/2021  11:50:55,451399	1,613792E+3	2,938975E+1
15/01/2021  11:50:55,451899	-8,862461E+2	3,185189E+1
15/01/2021  11:50:55,452399	-3,704058E+3	2,989648E+1
15/01/2021  11:50:55,452899	-5,001483E+3	3,067149E+1
15/01/2021  11:50:55,453399	-5,001483E+3	3,219170E+1
15/01/2021  11:50:55,453899	-5,001483E+3	3,054034E+1
15/01/2021  11:50:55,454399	-4,418141E+3	3,206054E+1
15/01/2021  11:50:55,454899	-2,919491E+3	3,115438E+1
15/01/2021  11:50:55,455399	-1,566890E+3	3,030783E+1
15/01/2021  11:50:55,455899	-1,145219E+2	3,022437E+1
15/01/2021  11:50:55,456399	1,383160E+3	3,059995E+1
15/01/2021  11:50:55,456899	4,037438E+3	3,026610E+1
15/01/2021  11:50:55,457399	4,998744E+3	3,384902E+1
15/01/2021  11:50:55,457899	4,998744E+3	3,154785E+1
15/01/2021  11:50:55,458399	4,998744E+3	3,361056E+1
15/01/2021  11:50:55,458899	4,998744E+3	3,462999E+1
15/01/2021  11:50:55,459399	4,998744E+3	3,483865E+1
15/01/2021  11:50:55,459899	4,998744E+3	3,469557E+1
15/01/2021  11:50:55,460399	4,998744E+3	3,461807E+1
15/01/2021  11:50:55,460899	4,998744E+3	3,369402E+1
15/01/2021  11:50:55,461399	3,182588E+3	3,197112E+1
15/01/2021  11:50:55,461899	-1,088130E+3	3,394441E+1
15/01/2021  11:50:55,462399	-5,001483E+3	3,640655E+1
15/01/2021  11:50:55,462899	-5,001483E+3	3,414710E+1
15/01/2021  11:50:55,463399	-5,001483E+3	3,483269E+1
15/01/2021  11:50:55,463899	-5,001483E+3	3,133919E+1
15/01/2021  11:50:55,464399	-5,001483E+3	2,918109E+1
15/01/2021  11:50:55,464899	-5,001483E+3	3,026610E+1
15/01/2021  11:50:55,465399	-5,001483E+3	2,971167E+1
15/01/2021  11:50:55,465899	-5,001483E+3	2,519278E+1
15/01/2021  11:50:55,466399	-5,001483E+3	2,525240E+1
15/01/2021  11:50:55,466899	-5,001483E+3	2,625395E+1
15/01/2021  11:50:55,467399	-5,001483E+3	2,770261E+1
15/01/2021  11:50:55,467899	-5,001483E+3	2,494239E+1
15/01/2021  11:50:55,468399	-3,681655E+3	2,496624E+1
15/01/2021  11:50:55,468899	-1,038919E+3	2,618241E+1
15/01/2021  11:50:55,469399	1,496112E+3	2,142505E+1
15/01/2021  11:50:55,469899	3,093815E+3	2,330892E+1
15/01/2021  11:50:55,470399	4,973053E+3	2,069177E+1
15/01/2021  11:50:55,470899	4,326725E+3	2,203909E+1
15/01/2021  11:50:55,471399	2,135391E+3	2,019696E+1
15/01/2021  11:50:55,471899	-5,826328E+2	2,177082E+1
15/01/2021  11:50:55,472399	-2,984781E+3	2,168140E+1
15/01/2021  11:50:55,472899	-4,635987E+3	2,454893E+1
15/01/2021  11:50:55,473399	-5,001483E+3	2,584856E+1
15/01/2021  11:50:55,473899	-5,001483E+3	2,585452E+1
15/01/2021  11:50:55,474399	-4,042098E+3	3,017072E+1
15/01/2021  11:50:55,474899	-2,487977E+3	3,059399E+1
15/01/2021  11:50:55,475399	-1,245449E+3	3,235862E+1
15/01/2021  11:50:55,475899	1,216592E+2	2,985475E+1
15/01/2021  11:50:55,476399	1,524536E+3	3,306805E+1
15/01/2021  11:50:55,476899	4,117703E+3	3,346152E+1
15/01/2021  11:50:55,477399	4,998744E+3	3,152996E+1
