waveform	Force_0	Force_1
t0	15/01/2021  11:43:10,686399	15/01/2021  11:43:10,686399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:43:10,686399	4,998744E+3	3,550039E+1
15/01/2021  11:43:10,686899	3,622246E+3	3,524404E+1
15/01/2021  11:43:10,687399	-5,459394E+2	3,551827E+1
15/01/2021  11:43:10,687899	-4,677647E+3	3,778964E+1
15/01/2021  11:43:10,688399	-5,001483E+3	3,334229E+1
15/01/2021  11:43:10,688899	-5,001483E+3	3,663309E+1
15/01/2021  11:43:10,689399	-5,001483E+3	3,513673E+1
15/01/2021  11:43:10,689899	-5,001483E+3	3,978082E+1
15/01/2021  11:43:10,690399	-5,001483E+3	4,112218E+1
15/01/2021  11:43:10,690899	-5,001483E+3	3,935158E+1
15/01/2021  11:43:10,691399	-5,001483E+3	3,764060E+1
15/01/2021  11:43:10,691899	-5,001483E+3	3,932773E+1
15/01/2021  11:43:10,692399	-5,001483E+3	3,641847E+1
15/01/2021  11:43:10,692899	-5,001483E+3	3,750348E+1
15/01/2021  11:43:10,693399	-5,001483E+3	3,869580E+1
15/01/2021  11:43:10,693899	-3,970997E+3	3,462999E+1
15/01/2021  11:43:10,694399	-1,506979E+3	3,484461E+1
15/01/2021  11:43:10,694899	2,005189E+3	3,691329E+1
15/01/2021  11:43:10,695399	2,987519E+3	3,396229E+1
15/01/2021  11:43:10,695899	4,378596E+3	3,325286E+1
15/01/2021  11:43:10,696399	4,709877E+3	3,229901E+1
15/01/2021  11:43:10,696899	2,428758E+3	3,189362E+1
15/01/2021  11:43:10,697399	1,155907E+2	3,439153E+1
15/01/2021  11:43:10,697899	-2,640452E+3	3,628732E+1
15/01/2021  11:43:10,698399	-4,283402E+3	3,446307E+1
15/01/2021  11:43:10,698899	-5,001483E+3	3,635886E+1
15/01/2021  11:43:10,699399	-4,885442E+3	3,673444E+1
15/01/2021  11:43:10,699899	-3,338118E+3	3,578058E+1
15/01/2021  11:43:10,700399	-1,835448E+3	3,468365E+1
15/01/2021  11:43:10,700899	-4,880309E+2	3,677617E+1
15/01/2021  11:43:10,701399	1,009746E+3	3,671655E+1
15/01/2021  11:43:10,701899	2,328011E+3	3,569712E+1
15/01/2021  11:43:10,702399	4,887883E+3	3,590578E+1
15/01/2021  11:43:10,702899	4,998744E+3	3,725310E+1
15/01/2021  11:43:10,703399	4,998744E+3	3,547654E+1
