waveform	Force_0	Force_1
t0	15/01/2021  11:54:33,286399	15/01/2021  11:54:33,286399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:54:33,286399	4,998744E+3	2,978917E+1
15/01/2021  11:54:33,286899	4,998744E+3	3,007533E+1
15/01/2021  11:54:33,287399	4,998744E+3	2,858493E+1
15/01/2021  11:54:33,287899	4,998744E+3	3,232882E+1
15/01/2021  11:54:33,288399	4,998744E+3	2,730915E+1
15/01/2021  11:54:33,288899	4,998744E+3	3,033764E+1
15/01/2021  11:54:33,289399	4,998744E+3	2,927052E+1
15/01/2021  11:54:33,289899	4,998744E+3	3,227516E+1
15/01/2021  11:54:33,290399	4,998744E+3	3,043303E+1
15/01/2021  11:54:33,290899	4,976846E+3	2,891878E+1
15/01/2021  11:54:33,291399	2,056103E+3	2,831666E+1
15/01/2021  11:54:33,291899	-2,675410E+3	2,841204E+1
15/01/2021  11:54:33,292399	-5,001483E+3	2,954475E+1
15/01/2021  11:54:33,292899	-5,001483E+3	3,001572E+1
15/01/2021  11:54:33,293399	-5,001483E+3	3,021841E+1
15/01/2021  11:54:33,293899	-5,001483E+3	2,829877E+1
15/01/2021  11:54:33,294399	-5,001483E+3	3,095169E+1
15/01/2021  11:54:33,294899	-5,001483E+3	2,990244E+1
15/01/2021  11:54:33,295399	-5,001483E+3	2,966398E+1
15/01/2021  11:54:33,295899	-5,001483E+3	2,939571E+1
15/01/2021  11:54:33,296399	-5,001483E+3	3,161939E+1
15/01/2021  11:54:33,296899	-5,001483E+3	2,938379E+1
15/01/2021  11:54:33,297399	-5,001483E+3	3,018264E+1
15/01/2021  11:54:33,297899	-5,001483E+3	2,996206E+1
15/01/2021  11:54:33,298399	-9,686252E+2	3,129150E+1
15/01/2021  11:54:33,298899	4,038270E+3	2,971764E+1
15/01/2021  11:54:33,299399	4,998744E+3	2,986071E+1
15/01/2021  11:54:33,299899	4,998744E+3	3,031380E+1
15/01/2021  11:54:33,300399	4,998744E+3	3,135111E+1
15/01/2021  11:54:33,300899	4,998744E+3	2,925263E+1
15/01/2021  11:54:33,301399	4,998744E+3	3,106496E+1
15/01/2021  11:54:33,301899	4,998744E+3	2,940763E+1
15/01/2021  11:54:33,302399	4,998744E+3	3,024226E+1
15/01/2021  11:54:33,302899	4,998744E+3	3,112457E+1
15/01/2021  11:54:33,303399	4,998744E+3	2,987264E+1
15/01/2021  11:54:33,303899	4,998744E+3	2,912744E+1
15/01/2021  11:54:33,304399	4,998744E+3	2,884724E+1
15/01/2021  11:54:33,304899	4,998744E+3	2,983091E+1
15/01/2021  11:54:33,305399	4,998744E+3	2,929436E+1
15/01/2021  11:54:33,305899	4,998744E+3	3,054034E+1
