waveform	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
t0	27/11/2020  14:42:34,953314	27/11/2020  14:42:34,953314	27/11/2020  14:42:34,953314	27/11/2020  14:42:34,953314	27/11/2020  14:42:34,953314	27/11/2020  14:42:34,953314
delta t	0,000500	0,000500	0,000500	0,000500	0,000500	0,000500

time	Acceleration_0	Acceleration_1	Acceleration_2	Acceleration_3	Acceleration_4	Acceleration_5
27/11/2020  14:42:34,953314	4,811285E-1	2,895054E-1	-4,724170E-2	-4,378099E-2	-9,068191E-2	-9,873806E-2
27/11/2020  14:42:34,953814	4,416852E-1	5,511325E-1	-4,059459E-2	-5,538924E-1	3,424027E-1	-2,936696E-2
27/11/2020  14:42:34,954314	4,340825E-1	4,824824E-1	1,025137E-1	-2,572191E-1	2,195756E-1	2,168481E-1
27/11/2020  14:42:34,954814	4,553961E-1	6,702165E-3	3,220637E-1	6,336905E-2	1,026258E-2	4,060308E-1
27/11/2020  14:42:34,955314	4,581253E-1	-3,008196E-1	4,772280E-1	-5,634000E-1	3,247058E-1	-7,625145E-2
27/11/2020  14:42:34,955814	8,929544E-2	1,500082E-1	-2,097911E-2	-7,578359E-1	5,415206E-1	-1,226484E-1
27/11/2020  14:42:34,956314	-1,862223E-1	7,258323E-1	-2,834094E-1	5,259101E-1	9,879694E-3	1,819513E-1
27/11/2020  14:42:34,956814	-2,708920E-1	1,875377E-1	2,225526E-1	1,032062E+0	-3,199891E-1	-4,533517E-3
27/11/2020  14:42:34,957314	-2,645239E-1	-4,335830E-1	1,298841E-1	-2,441210E-1	2,123397E-1	-2,397556E-1
27/11/2020  14:42:34,957814	-3,475042E-1	5,413830E-1	-1,833119E-1	-9,427772E-1	6,296029E-1	-1,858436E-1
27/11/2020  14:42:34,958314	-2,853827E-1	5,150590E-1	-2,735691E-1	-4,083815E-1	-1,866684E-1	-6,192996E-2
27/11/2020  14:42:34,958814	3,354209E-2	-1,112298E+0	3,656396E-2	-1,270875E-1	-4,807215E-1	-1,190554E-2
27/11/2020  14:42:34,959314	1,225005E-1	-6,089458E-1	1,903597E-1	2,053868E-1	2,902659E-1	-1,133716E-1
27/11/2020  14:42:34,959814	-3,246310E-1	7,120139E-1	-2,736343E-1	1,403583E-2	8,161247E-1	1,839081E-1
27/11/2020  14:42:34,960314	-1,489234E-1	5,199468E-1	-3,661724E-1	7,475661E-1	-3,811398E-1	1,688195E-1
27/11/2020  14:42:34,960814	2,304983E-1	3,738089E-2	2,553319E-1	5,302070E-1	-6,762832E-1	-1,087189E-2
27/11/2020  14:42:34,961314	3,972385E-1	-4,007074E-1	7,051634E-2	-2,396362E-1	1,284302E-1	-1,928516E-1
27/11/2020  14:42:34,961814	4,694320E-1	8,963222E-2	2,524646E-1	-7,723274E-1	4,965353E-1	-3,193721E-1
27/11/2020  14:42:34,962314	7,178528E-1	-4,421757E-1	2,297862E-1	-3,591325E-1	1,090850E-1	-3,407601E-1
27/11/2020  14:42:34,962814	5,247304E-1	-3,046089E-1	-7,454696E-2	1,150709E+0	-1,008923E+0	4,335621E-1
27/11/2020  14:42:34,963314	3,753400E-1	5,621236E-1	1,567984E-1	1,093573E+0	-4,166116E-1	5,754183E-1
27/11/2020  14:42:34,963814	3,237454E-1	-7,515543E-2	3,135267E-1	-9,377414E-1	7,089243E-1	-4,185173E-1
27/11/2020  14:42:34,964314	4,310934E-1	-2,735792E-1	-1,553549E-1	-8,410193E-1	-1,813665E-1	-1,541907E-1
27/11/2020  14:42:34,964814	3,303085E-1	5,832347E-1	-3,225313E-2	-1,242424E-1	-2,641403E-1	-1,197100E-1
27/11/2020  14:42:34,965314	1,586947E-1	-8,709499E-1	9,332503E-2	-1,973656E-2	-1,436623E-1	-2,389560E-1
27/11/2020  14:42:34,965814	1,655827E-1	-8,156502E-1	1,460245E-2	5,526312E-1	8,868194E-2	6,443453E-2
27/11/2020  14:42:34,966314	-1,365121E-1	7,032067E-1	1,980495E-1	6,876170E-1	2,000161E-1	2,599166E-1
27/11/2020  14:42:34,966814	-6,173686E-1	2,169099E-1	-1,214677E-1	-1,099129E-1	-1,474457E-1	-1,487170E-1
27/11/2020  14:42:34,967314	-2,045679E-2	-3,866160E-1	-2,319921E-1	2,635617E-2	-6,180008E-1	-1,695199E-1
27/11/2020  14:42:34,967814	8,589538E-3	3,574471E-1	1,252572E-1	-5,469578E-1	5,732868E-1	-1,103877E-1
27/11/2020  14:42:34,968314	-2,997434E-1	-6,137686E-1	-1,404967E-1	-5,669257E-1	4,793640E-1	-2,051318E-1
27/11/2020  14:42:34,968814	9,325926E-2	-3,054539E-1	1,436997E-1	1,110043E-1	-1,464139E-1	3,514148E-2
27/11/2020  14:42:34,969314	2,188668E-1	2,461717E-1	-2,278866E-1	7,847475E-1	-7,616485E-2	3,634629E-1
27/11/2020  14:42:34,969814	-2,523076E-1	2,361491E-1	-2,675085E-1	2,855176E-1	7,356784E-2	1,257835E-1
27/11/2020  14:42:34,970314	2,643532E-1	2,367796E-1	3,109200E-1	-3,745897E-1	1,656541E-1	-3,069099E-1
27/11/2020  14:42:34,970814	5,733359E-1	-9,380316E-2	3,369659E-2	-3,478102E-1	5,964869E-1	-1,297994E-1
27/11/2020  14:42:34,971314	2,330975E-1	4,341114E-1	8,778578E-2	6,202797E-1	-7,123282E-2	-6,022673E-2
27/11/2020  14:42:34,971814	3,109443E-1	5,483572E-1	3,694406E-1	6,053086E-1	-8,683362E-2	5,723803E-2
27/11/2020  14:42:34,972314	6,550165E-1	-1,997813E-1	5,956816E-2	5,385027E-1	3,818071E-1	2,053610E-1
27/11/2020  14:42:34,972814	2,737104E-1	5,449643E-1	2,544848E-1	3,282467E-1	1,776446E-2	2,801344E-1
27/11/2020  14:42:34,973314	1,835173E-1	4,529346E-1	8,126901E-2	-3,633387E-1	-8,340716E-2	-1,802288E-2
27/11/2020  14:42:34,973814	5,346725E-1	7,115349E-2	-1,577009E-1	-3,288923E-1	3,882944E-2	6,620278E-2
27/11/2020  14:42:34,974314	3,315431E-1	3,483215E-1	2,046966E-1	2,490880E-1	1,039258E-1	4,469130E-2
27/11/2020  14:42:34,974814	-2,844940E-2	-1,097535E-1	7,051634E-2	3,959535E-1	-3,473619E-1	-9,466850E-2
27/11/2020  14:42:34,975314	2,892407E-1	2,241201E-2	-1,258339E-1	1,884260E-1	-1,608012E-1	-2,082002E-1
27/11/2020  14:42:34,975814	2,228306E-1	4,851278E-1	-2,875802E-1	-1,782743E-1	-3,819121E-1	-5,183407E-2
27/11/2020  14:42:34,976314	-6,717784E-2	-7,501244E-2	-1,191868E-1	-2,613605E-1	-6,612016E-1	-1,335504E-1
27/11/2020  14:42:34,976814	2,490178E-1	-5,961413E-1	3,788247E-1	-3,990165E-1	5,668752E-1	-1,322957E-1
27/11/2020  14:42:34,977314	1,277640E-1	-2,726822E-1	5,806931E-2	-3,437856E-1	6,620245E-1	2,212427E-1
27/11/2020  14:42:34,977814	-4,273003E-1	4,715694E-1	-1,998645E-1	3,076324E-2	5,375534E-2	3,257967E-1
27/11/2020  14:42:34,978314	-3,216419E-1	5,341163E-1	-2,443300E-2	5,185883E-2	2,405281E-2	5,721853E-2
27/11/2020  14:42:34,978814	4,153470E-2	-4,864973E-1	-5,616967E-2	-4,321278E-1	2,055128E-1	-5,157604E-3
27/11/2020  14:42:34,979314	-4,826849E-2	-4,049257E-1	2,895450E-1	-3,449197E-1	4,567221E-1	-1,903877E-1
27/11/2020  14:42:34,979814	1,248837E-2	-2,989866E-1	3,248659E-1	-7,945231E-2	2,311334E-1	-1,105392E-2
27/11/2020  14:42:34,980314	2,618839E-1	-4,304502E-1	1,206091E-2	2,688680E-1	5,217190E-2	2,372480E-1
27/11/2020  14:42:34,980814	8,305731E-2	1,942864E-2	1,958990E-1	6,050170E-1	8,911024E-2	1,150895E-1
27/11/2020  14:42:34,981314	-5,879534E-2	2,264970E-1	-6,972455E-2	3,287652E-1	-7,947451E-2	-8,879168E-2
27/11/2020  14:42:34,981814	2,997026E-1	2,457037E-1	-1,341754E-1	2,241574E-2	-1,613658E-1	-1,645272E-1
27/11/2020  14:42:34,982314	4,294689E-1	-1,448695E-2	-9,122990E-2	-1,875145E-2	-2,433349E-1	-1,382830E-1
27/11/2020  14:42:34,982814	4,690421E-1	-4,706120E-1	-1,037799E-3	3,661086E-1	-4,912021E-1	5,461817E-2
27/11/2020  14:42:34,983314	7,144738E-1	-4,690456E-1	3,223895E-1	2,607473E-1	1,545765E-1	5,397458E-2
27/11/2020  14:42:34,983814	6,252554E-1	-4,677001E-1	2,620442E-1	7,677820E-2	-1,613679E-2	2,219168E-2
27/11/2020  14:42:34,984314	1,299083E-1	3,067947E-1	8,739477E-2	-1,451937E-2	-5,710751E-1	-4,275881E-2
27/11/2020  14:42:34,984814	1,377060E-1	7,745608E-1	-2,436571E-1	5,857961E-2	-3,422676E-1	-6,759875E-2
27/11/2020  14:42:34,985314	2,256247E-1	4,110179E-1	-2,024712E-1	-2,667721E-1	2,205944E-1	2,448865E-1
27/11/2020  14:42:34,985814	1,941092E-1	-2,149906E-1	4,007211E-1	8,415355E-2	-3,787647E-1	7,336677E-2
27/11/2020  14:42:34,986314	2,105492E-1	-5,666130E-1	3,642923E-1	-1,979570E-1	-2,124578E-1	1,413207E-1
27/11/2020  14:42:34,986814	2,236753E-1	-2,247142E-1	-2,271045E-1	-6,794744E-1	2,098283E-1	2,222764E-1
27/11/2020  14:42:34,987314	-1,554865E-1	7,743528E-1	-1,910016E-1	-7,005959E-1	3,336224E-1	5,486521E-2
27/11/2020  14:42:34,987814	-2,955847E-1	1,473433E-1	7,768478E-2	-3,161118E-1	3,360170E-1	-1,629474E-1
27/11/2020  14:42:34,988314	-8,374789E-2	-3,050639E-1	2,085415E-1	2,778700E-1	1,704045E-1	-1,009029E-1
27/11/2020  14:42:34,988814	-2,620547E-1	3,845510E-1	1,595354E-1	6,212907E-1	2,169213E-1	7,272117E-3
27/11/2020  14:42:34,989314	-3,916910E-1	1,905990E-1	-1,461663E-1	5,007121E-1	1,163835E-2	1,635017E-1
27/11/2020  14:42:34,989814	-2,513539E-2	-2,967832E-1	-5,414947E-2	1,882316E-1	-1,731507E-1	1,444021E-1
27/11/2020  14:42:34,990314	1,295184E-1	-2,665660E-1	-1,045241E-1	-1,205806E-1	-1,818597E-1	-1,517549E-2
27/11/2020  14:42:34,990814	-3,826147E-2	2,116452E-1	-9,129506E-2	-6,425652E-1	2,973005E-1	-1,035552E-1
27/11/2020  14:42:34,991314	2,893057E-1	3,121895E-1	-8,271413E-3	-9,610194E-2	3,925083E-1	1,024752E-3
27/11/2020  14:42:34,991814	5,066009E-1	-2,481954E-3	2,218357E-1	6,938582E-1	1,041594E-1	1,631637E-1
27/11/2020  14:42:34,992314	4,581903E-1	-1,549331E-1	2,686913E-1	7,511760E-1	-1,157574E-1	-1,159784E-1
27/11/2020  14:42:34,992814	5,251203E-1	2,998400E-1	7,657693E-2	2,270592E-1	-3,284731E-2	-1,261264E-1
27/11/2020  14:42:34,993314	6,927703E-1	2,327823E-1	-5,050008E-2	-2,451191E-1	-3,866841E-2	-2,298957E-2
27/11/2020  14:42:34,993814	5,257052E-1	-7,390099E-2	1,356189E-1	-4,159707E-1	-3,717560E-1	4,453528E-2
27/11/2020  14:42:34,994314	5,241456E-1	-2,293615E-1	1,842340E-1	-3,647256E-1	-7,687870E-2	2,324893E-1
27/11/2020  14:42:34,994814	4,901608E-1	-3,762400E-3	1,392683E-1	-3,887052E-1	4,093810E-1	1,706982E-1
27/11/2020  14:42:34,995314	1,688317E-1	3,771238E-2	2,024158E-1	-4,825045E-1	1,641486E-1	-3,636192E-2
27/11/2020  14:42:34,995814	-6,178445E-2	-5,315836E-3	3,845383E-2	7,156101E-2	-2,188954E-1	7,282719E-2
27/11/2020  14:42:34,996314	-6,938718E-2	1,909175E-1	-5,519216E-2	3,620385E-1	-7,162868E-2	1,623641E-1
27/11/2020  14:42:34,996814	-2,736862E-1	1,109643E-1	-3,192729E-2	-1,040282E-1	8,862353E-2	3,782635E-2
27/11/2020  14:42:34,997314	-3,576411E-1	-8,376758E-2	9,514973E-2	-5,048574E-1	2,025276E-1	-1,497051E-1
27/11/2020  14:42:34,997814	-1,790744E-1	-3,270460E-1	6,575909E-2	-6,531940E-1	3,159384E-1	-2,122113E-1
27/11/2020  14:42:34,998314	-1,605550E-1	-4,584705E-1	-1,795973E-1	-2,450154E-1	-3,372339E-2	-1,306380E-1
27/11/2020  14:42:34,998814	-2,439901E-1	-1,554271E-1	-1,372383E-1	1,343358E-1	-3,276143E-1	-7,726559E-2
27/11/2020  14:42:34,999314	-8,621716E-2	-1,364739E-1	-1,133217E-1	2,920699E-1	-2,789104E-1	6,368693E-2
27/11/2020  14:42:34,999814	-8,114867E-2	-3,510410E-2	-8,197608E-2	1,048992E-1	4,227538E-2	1,086341E-1
27/11/2020  14:42:35,000314	-9,433973E-2	2,946532E-1	-6,464147E-2	4,684255E-2	2,965867E-1	-1,067602E-1
27/11/2020  14:42:35,000814	1,906002E-1	2,967721E-1	-1,067398E-1	-2,709005E-1	2,758981E-1	2,104752E-2
27/11/2020  14:42:35,001314	5,870468E-1	-3,231526E-1	4,275490E-2	4,072823E-1	-3,969159E-1	1,323429E-1
27/11/2020  14:42:35,001814	5,804838E-1	-3,588946E-1	4,563743E-1	5,889960E-1	-3,440912E-1	5,528776E-2
27/11/2020  14:42:35,002314	5,710616E-1	-2,009057E-1	3,036212E-1	-2,406861E-1	2,779228E-1	-2,243224E-1
27/11/2020  14:42:35,002814	4,988032E-1	3,350815E-1	-3,974741E-2	-1,371849E-1	-1,002799E-1	-1,442139E-2
27/11/2020  14:42:35,003314	3,460988E-1	8,387781E-1	-3,212279E-2	5,756711E-1	-2,792868E-1	2,687838E-1
27/11/2020  14:42:35,003814	2,998326E-1	3,598995E-2	3,007538E-1	2,789005E-1	-1,030769E-1	3,867797E-2
27/11/2020  14:42:35,004314	4,824931E-1	-5,010242E-1	8,276786E-2	-1,396476E-1	-1,434417E-1	-2,998369E-1
27/11/2020  14:42:35,004814	3,746253E-1	2,295584E-1	-2,574075E-1	-3,167599E-1	1,885816E-1	-7,270846E-2
27/11/2020  14:42:35,005314	1,557706E-1	1,935434E-1	-1,425169E-1	3,726025E-1	-5,163555E-1	7,907199E-4
27/11/2020  14:42:35,005814	2,022317E-1	-6,291599E-1	1,382256E-1	5,114446E-1	-3,766361E-1	1,015807E-1
27/11/2020  14:42:35,006314	1,314679E-1	-4,062887E-2	1,997439E-1	1,455414E-1	4,418611E-1	1,017757E-1
27/11/2020  14:42:35,006814	-3,826587E-1	9,672453E-1	6,354339E-2	-4,314732E-1	2,840684E-1	-8,153668E-2
27/11/2020  14:42:35,007314	-2,378169E-1	1,904300E-1	-2,138755E-1	-3,112640E-1	-3,665190E-1	-9,000735E-2
27/11/2020  14:42:35,007814	6,018413E-2	-1,306306E-1	-4,426519E-3	-4,482395E-1	1,309482E-1	7,370481E-2
27/11/2020  14:42:35,008314	-1,348876E-1	-3,131560E-1	-9,025238E-2	-5,234642E-1	8,411353E-1	8,694065E-2
27/11/2020  14:42:35,008814	-1,917457E-1	-1,326715E-1	1,274077E-1	-3,731945E-2	5,700226E-1	-5,000731E-2
27/11/2020  14:42:35,009314	1,460235E-1	-3,307248E-1	6,517258E-2	7,031325E-1	-3,218516E-1	6,537716E-2
27/11/2020  14:42:35,009814	-3,397276E-2	-2,106468E-2	-2,671387E-2	4,610938E-1	2,050953E-2	1,624031E-1
27/11/2020  14:42:35,010314	-2,643940E-1	7,607358E-1	1,597097E-2	-2,977447E-1	8,302978E-1	-3,499874E-3
27/11/2020  14:42:35,010814	2,078850E-1	3,966470E-1	5,544139E-3	-3,006870E-1	5,524555E-1	-1,886520E-1
27/11/2020  14:42:35,011314	4,341475E-1	-1,584560E-1	2,750126E-1	8,054365E-2	-2,149692E-1	-2,005096E-1
27/11/2020  14:42:35,011814	4,194619E-1	-2,835693E-1	1,421356E-1	6,877402E-1	-4,070006E-1	1,015202E-2
27/11/2020  14:42:35,012314	5,336978E-1	3,567146E-2	-1,185564E-2	6,661520E-1	1,401828E-1	3,033751E-1
27/11/2020  14:42:35,012814	5,266799E-1	-5,998506E-2	1,216078E-1	-3,688151E-1	5,164776E-1	-3,883227E-2
27/11/2020  14:42:35,013314	2,517469E-1	8,206003E-2	2,841800E-2	-4,379023E-1	-3,099303E-1	-1,695459E-1
27/11/2020  14:42:35,013814	2,091197E-1	7,253708E-1	-1,138431E-1	1,806489E-1	-4,222510E-1	2,083645E-1
27/11/2020  14:42:35,014314	2,578551E-1	3,565306E-1	5,969850E-2	3,191928E-1	-1,392387E-2	1,953041E-1
27/11/2020  14:42:35,014814	2,095745E-1	-3,561453E-1	3,025785E-1	2,317401E-2	-3,459018E-1	-1,523575E-1
27/11/2020  14:42:35,015314	2,657178E-1	-3,399414E-1	1,330122E-1	-2,650935E-1	-3,981748E-1	-2,362646E-1
27/11/2020  14:42:35,015814	2,028815E-1	5,995445E-2	-2,940969E-1	-8,490281E-2	-3,098719E-1	-1,438238E-2
27/11/2020  14:42:35,016314	-2,652106E-3	-1,184156E-2	-2,125070E-1	2,745794E-2	-2,362159E-1	1,192676E-2
27/11/2020  14:42:35,016814	3,555649E-2	-2,433164E-1	1,648792E-1	-3,499230E-1	9,580094E-2	-1,820491E-2
27/11/2020  14:42:35,017314	-1,145487E-1	2,075698E-1	1,537355E-1	-6,077429E-1	4,063245E-1	6,698288E-2
27/11/2020  14:42:35,017814	-3,416559E-1	3,977259E-1	-2,580152E-2	-1,845608E-1	1,747719E-1	6,225023E-2
27/11/2020  14:42:35,018314	-2,501632E-1	-3,843196E-2	-1,327417E-1	3,200353E-1	-1,599251E-1	7,283369E-2
