waveform	Force_0	Force_1
t0	15/01/2021  11:42:31,486399	15/01/2021  11:42:31,486399
delta t	0,000500	0,000500

time	Force_0	Force_1
15/01/2021  11:42:31,486399	4,998744E+3	3,322902E+1
15/01/2021  11:42:31,486899	4,671761E+3	3,203074E+1
15/01/2021  11:42:31,487399	1,027847E+3	3,337806E+1
15/01/2021  11:42:31,487899	-3,045183E+3	3,225132E+1
15/01/2021  11:42:31,488399	-5,001483E+3	3,178631E+1
15/01/2021  11:42:31,488899	-5,001483E+3	3,567327E+1
15/01/2021  11:42:31,489399	-5,001483E+3	3,619193E+1
15/01/2021  11:42:31,489899	-5,001483E+3	3,474923E+1
15/01/2021  11:42:31,490399	-5,001483E+3	3,433788E+1
15/01/2021  11:42:31,490899	-5,001483E+3	3,644232E+1
15/01/2021  11:42:31,491399	-5,001483E+3	3,558981E+1
15/01/2021  11:42:31,491899	-5,001483E+3	3,743195E+1
15/01/2021  11:42:31,492399	-5,001483E+3	3,959601E+1
15/01/2021  11:42:31,492899	-5,001483E+3	3,935754E+1
15/01/2021  11:42:31,493399	-5,001483E+3	3,889850E+1
15/01/2021  11:42:31,493899	-4,834061E+3	3,625155E+1
15/01/2021  11:42:31,494399	-2,462952E+3	3,485057E+1
15/01/2021  11:42:31,494899	6,216808E+2	2,932417E+1
15/01/2021  11:42:31,495399	3,546032E+3	3,530365E+1
15/01/2021  11:42:31,495899	3,831568E+3	3,390864E+1
15/01/2021  11:42:31,496399	4,998744E+3	3,263882E+1
15/01/2021  11:42:31,496899	3,669453E+3	3,455845E+1
15/01/2021  11:42:31,497399	1,222609E+3	3,494596E+1
15/01/2021  11:42:31,497899	-1,548381E+3	3,585808E+1
15/01/2021  11:42:31,498399	-3,682426E+3	3,737233E+1
15/01/2021  11:42:31,498899	-5,001483E+3	3,641847E+1
15/01/2021  11:42:31,499399	-5,001483E+3	3,547058E+1
15/01/2021  11:42:31,499899	-4,616454E+3	4,032928E+1
15/01/2021  11:42:31,500399	-3,427494E+3	3,792676E+1
15/01/2021  11:42:31,500899	-2,010278E+3	4,226084E+1
15/01/2021  11:42:31,501399	-8,593745E+2	4,100891E+1
15/01/2021  11:42:31,501899	5,415387E+2	4,254104E+1
15/01/2021  11:42:31,502399	2,298370E+3	4,626704E+1
15/01/2021  11:42:31,502899	4,998744E+3	3,826657E+1
15/01/2021  11:42:31,503399	4,998744E+3	3,293690E+1
15/01/2021  11:42:31,503899	4,998744E+3	3,690732E+1
15/01/2021  11:42:31,504399	4,998744E+3	3,406960E+1
15/01/2021  11:42:31,504899	4,998744E+3	3,429018E+1
15/01/2021  11:42:31,505399	4,998744E+3	3,439749E+1
15/01/2021  11:42:31,505899	4,998744E+3	3,459422E+1
15/01/2021  11:42:31,506399	4,998744E+3	3,620982E+1
15/01/2021  11:42:31,506899	4,860067E+3	3,242420E+1
15/01/2021  11:42:31,507399	1,375073E+3	3,352114E+1
15/01/2021  11:42:31,507899	-2,998627E+3	2,924071E+1
15/01/2021  11:42:31,508399	-5,001483E+3	3,192939E+1
15/01/2021  11:42:31,508899	-5,001483E+3	3,025418E+1
15/01/2021  11:42:31,509399	-5,001483E+3	3,116630E+1
15/01/2021  11:42:31,509899	-5,001483E+3	3,454057E+1
15/01/2021  11:42:31,510399	-5,001483E+3	3,632905E+1
15/01/2021  11:42:31,510899	-5,001483E+3	3,726502E+1
15/01/2021  11:42:31,511399	-5,001483E+3	3,645424E+1
15/01/2021  11:42:31,511899	-5,001483E+3	3,888658E+1
15/01/2021  11:42:31,512399	-5,001483E+3	3,725906E+1
15/01/2021  11:42:31,512899	-5,001483E+3	3,711002E+1
15/01/2021  11:42:31,513399	-5,001483E+3	3,614424E+1
15/01/2021  11:42:31,513899	-4,962998E+3	3,391460E+1
15/01/2021  11:42:31,514399	-2,477351E+3	3,371191E+1
15/01/2021  11:42:31,514899	2,287479E+2	3,441538E+1
15/01/2021  11:42:31,515399	3,853501E+3	3,288921E+1
15/01/2021  11:42:31,515899	4,689007E+3	3,433191E+1
15/01/2021  11:42:31,516399	4,864860E+3	3,545866E+1
15/01/2021  11:42:31,516899	3,546968E+3	3,393845E+1
15/01/2021  11:42:31,517399	9,528011E+2	3,585808E+1
15/01/2021  11:42:31,517899	-1,538935E+3	3,808772E+1
15/01/2021  11:42:31,518399	-3,934686E+3	3,575674E+1
15/01/2021  11:42:31,518899	-4,916816E+3	3,992389E+1
15/01/2021  11:42:31,519399	-5,001483E+3	3,709213E+1
15/01/2021  11:42:31,519899	-4,747790E+3	3,947081E+1
15/01/2021  11:42:31,520399	-3,456659E+3	3,593558E+1
15/01/2021  11:42:31,520899	-2,150610E+3	3,808772E+1
15/01/2021  11:42:31,521399	-8,840383E+2	3,573289E+1
15/01/2021  11:42:31,521899	5,497256E+2	3,488634E+1
15/01/2021  11:42:31,522399	2,278899E+3	3,595347E+1
15/01/2021  11:42:31,522899	4,998744E+3	3,987620E+1
15/01/2021  11:42:31,523399	4,998744E+3	3,783733E+1
15/01/2021  11:42:31,523899	4,998744E+3	3,398018E+1
15/01/2021  11:42:31,524399	4,998744E+3	3,430807E+1
15/01/2021  11:42:31,524899	4,998744E+3	3,160150E+1
15/01/2021  11:42:31,525399	4,998744E+3	3,179227E+1
15/01/2021  11:42:31,525899	4,998744E+3	3,073707E+1
15/01/2021  11:42:31,526399	4,998744E+3	2,975340E+1
15/01/2021  11:42:31,526899	4,555459E+3	2,751780E+1
15/01/2021  11:42:31,527399	7,028421E+2	2,909167E+1
15/01/2021  11:42:31,527899	-3,441290E+3	3,061784E+1
15/01/2021  11:42:31,528399	-5,001483E+3	3,063572E+1
15/01/2021  11:42:31,528899	-5,001483E+3	3,418287E+1
15/01/2021  11:42:31,529399	-5,001483E+3	3,434980E+1
15/01/2021  11:42:31,529899	-5,001483E+3	3,650194E+1
15/01/2021  11:42:31,530399	-5,001483E+3	3,436172E+1
15/01/2021  11:42:31,530899	-5,001483E+3	3,482076E+1
15/01/2021  11:42:31,531399	-5,001483E+3	3,690732E+1
15/01/2021  11:42:31,531899	-5,001483E+3	3,821888E+1
15/01/2021  11:42:31,532399	-5,001483E+3	3,935158E+1
15/01/2021  11:42:31,532899	-5,001483E+3	3,871965E+1
15/01/2021  11:42:31,533399	-5,001483E+3	3,935754E+1
15/01/2021  11:42:31,533899	-4,768415E+3	3,867196E+1
15/01/2021  11:42:31,534399	-2,468742E+3	4,020409E+1
15/01/2021  11:42:31,534899	7,498873E+2	3,711002E+1
15/01/2021  11:42:31,535399	3,488483E+3	3,957812E+1
15/01/2021  11:42:31,535899	3,854628E+3	3,865407E+1
15/01/2021  11:42:31,536399	4,998744E+3	3,758099E+1
15/01/2021  11:42:31,536899	3,560664E+3	3,731868E+1
15/01/2021  11:42:31,537399	1,249423E+3	3,705040E+1
15/01/2021  11:42:31,537899	-1,614788E+3	3,503538E+1
15/01/2021  11:42:31,538399	-3,614354E+3	3,620982E+1
15/01/2021  11:42:31,538899	-4,944603E+3	3,743791E+1
15/01/2021  11:42:31,539399	-5,001483E+3	3,832619E+1
15/01/2021  11:42:31,539899	-4,448105E+3	4,053198E+1
15/01/2021  11:42:31,540399	-3,280596E+3	3,696098E+1
15/01/2021  11:42:31,540899	-1,862732E+3	3,677617E+1
15/01/2021  11:42:31,541399	-5,866580E+2	3,837388E+1
15/01/2021  11:42:31,541899	7,539727E+2	3,692521E+1
15/01/2021  11:42:31,542399	2,589554E+3	3,647809E+1
15/01/2021  11:42:31,542899	4,998744E+3	3,562558E+1
15/01/2021  11:42:31,543399	4,998744E+3	3,564943E+1
15/01/2021  11:42:31,543899	4,998744E+3	3,579847E+1
15/01/2021  11:42:31,544399	4,998744E+3	3,452268E+1
15/01/2021  11:42:31,544899	4,998744E+3	3,096957E+1
15/01/2021  11:42:31,545399	4,998744E+3	3,562558E+1
