waveform	Force_0	Force_1
t0	23/12/2020  13:10:31,594858	23/12/2020  13:10:31,594858
delta t	0,000500	0,000500

time	Force_0	Force_1
23/12/2020  13:10:31,594858	2,220294E+0	-5,561122E+3
23/12/2020  13:10:31,595358	2,597600E+0	-5,561122E+3
23/12/2020  13:10:31,595858	2,578526E+0	-5,561122E+3
23/12/2020  13:10:31,596358	2,746615E+0	-4,188366E+3
23/12/2020  13:10:31,596858	2,625019E+0	-1,224492E+3
23/12/2020  13:10:31,597358	2,664955E+0	1,686970E+3
23/12/2020  13:10:31,597858	2,716812E+0	4,324713E+3
23/12/2020  13:10:31,598358	2,697738E+0	5,559684E+3
23/12/2020  13:10:31,598858	2,549319E+0	5,559684E+3
23/12/2020  13:10:31,599358	2,486733E+0	5,559684E+3
23/12/2020  13:10:31,599858	2,617866E+0	5,559684E+3
23/12/2020  13:10:31,600358	2,504615E+0	5,559684E+3
23/12/2020  13:10:31,600858	2,816354E+0	5,559684E+3
23/12/2020  13:10:31,601358	2,793704E+0	5,559684E+3
23/12/2020  13:10:31,601858	2,424147E+0	5,559684E+3
23/12/2020  13:10:31,602358	2,893842E+0	5,559684E+3
23/12/2020  13:10:31,602858	2,542167E+0	5,559684E+3
23/12/2020  13:10:31,603358	2,497462E+0	5,559684E+3
23/12/2020  13:10:31,603858	2,610117E+0	4,738475E+3
23/12/2020  13:10:31,604358	2,611310E+0	1,977754E+3
23/12/2020  13:10:31,604858	2,306127E+0	8,613607E+2
23/12/2020  13:10:31,605358	2,437260E+0	-2,403983E+2
23/12/2020  13:10:31,605858	2,349639E+0	3,789797E+2
23/12/2020  13:10:31,606358	2,383615E+0	2,753491E+3
23/12/2020  13:10:31,606858	2,626211E+0	4,778938E+3
23/12/2020  13:10:31,607358	2,485541E+0	5,559684E+3
23/12/2020  13:10:31,607858	2,366925E+0	5,559684E+3
23/12/2020  13:10:31,608358	2,710852E+0	5,559684E+3
23/12/2020  13:10:31,608858	2,233408E+0	5,559684E+3
23/12/2020  13:10:31,609358	2,028363E+0	5,559684E+3
23/12/2020  13:10:31,609858	2,394344E+0	5,559684E+3
23/12/2020  13:10:31,610358	2,312684E+0	5,559684E+3
23/12/2020  13:10:31,610858	2,706679E+0	5,559684E+3
23/12/2020  13:10:31,611358	2,856290E+0	4,560200E+3
23/12/2020  13:10:31,611858	2,999941E+0	2,575332E+3
23/12/2020  13:10:31,612358	2,854502E+0	-5,953587E+1
